"index","filename","syllable","base_vowel","style","target_duration_sec","voiced_duration_sec","sample_rate","recorded_at","mime_type","size_bytes"
"1","hj_001_아_아_short.wav","아","아","short","1","1.00","44100","2026-03-15T11:26:50.085Z","audio/wav","81964"
"2","hj_002_아_아_short.wav","아","아","short","1","1.00","44100","2026-03-15T11:27:11.135Z","audio/wav","81964"
"3","hj_003_아_아_normal.wav","아","아","normal","1.5","1.50","44100","2026-03-15T11:27:02.333Z","audio/wav","131116"
"4","hj_004_아_아_normal.wav","아","아","normal","1.5","1.50","44100","2026-03-15T11:27:16.892Z","audio/wav","204844"
"5","hj_005_아_아_long.wav","아","아","long","2.5","2.55","44100","2026-03-15T11:27:24.014Z","audio/wav","245804"
"6","hj_006_아_아_long.wav","아","아","long","2.5","2.55","44100","2026-03-15T11:31:37.127Z","audio/wav","270380"
"7","hj_007_아_마_normal.wav","마","아","normal","1.5","1.50","44100","2026-03-15T11:27:30.674Z","audio/wav","204844"
"8","hj_008_아_바_normal.wav","바","아","normal","1.5","1.50","44100","2026-03-15T11:27:35.691Z","audio/wav","172076"
"9","hj_009_아_하_short.wav","하","아","short","1","1.00","44100","2026-03-15T11:27:38.780Z","audio/wav","139308"
"10","hj_010_아_자_short.wav","자","아","short","1","1.00","44100","2026-03-15T11:27:41.685Z","audio/wav","147500"
"11","hj_011_어_어_short.wav","어","어","short","1","1.00","44100","2026-03-15T11:27:43.968Z","audio/wav","114732"
"12","hj_012_어_어_short.wav","어","어","short","1","1.00","44100","2026-03-15T11:27:46.601Z","audio/wav","147500"
"13","hj_013_어_어_normal.wav","어","어","normal","1.5","1.50","44100","2026-03-15T11:27:49.415Z","audio/wav","131116"
"14","hj_014_어_어_normal.wav","어","어","normal","1.5","1.50","44100","2026-03-15T11:27:52.343Z","audio/wav","188460"
"15","hj_015_어_어_long.wav","어","어","long","2.5","2.55","44100","2026-03-15T11:27:58.400Z","audio/wav","450604"
"16","hj_016_어_어_long.wav","어","어","long","2.5","2.55","44100","2026-03-15T11:28:03.298Z","audio/wav","327724"
"17","hj_017_어_더_long.wav","더","어","long","2.5","2.55","44100","2026-03-15T11:28:07.903Z","audio/wav","253996"
"18","hj_018_어_허_normal.wav","허","어","normal","1.5","1.50","44100","2026-03-15T11:28:10.751Z","audio/wav","172076"
"19","hj_019_어_퍼_short.wav","퍼","어","short","1","1.00","44100","2026-03-15T11:28:12.968Z","audio/wav","114732"
